,CityName,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers,Fastfood_Restaurant_Numbers.1
68,scottsdale,1341,5,51.5,9,9
163,scranton,3054,1,39.2,2,2
17,seattle,8391,20,73.76,16,16
85,shreveport,1850,29,36.92,19,19
74,spokane,3645,13,58.2,10,10
162,springdale,1879,17,51.04,12,12
101,springfield,2336,19,48.93,28,28
55,stockton,4979,17,25.42,8,8
151,sugar land,2723,23,49.82,6,6
108,sunnyvale,6947,24,81.9,2,2
113,syracuse,5726,1,53.98,8,8
89,tallahassee,1904,0,68.97,9,9
48,tampa,3326,14,50.36,21,21
171,temple,1067,0,43.82,1,1
123,thousand oaks,2342,22,52.44,2,2
157,trenton,10988,0,69.2,11,11
158,troy,2499,31,65.14,14,14
31,tucson,2341,20,54.26,14,14
43,tulsa,2049,0,44.88,22,22
97,vancouver,3763,27,67.96,10,10
40,virginia beach,1818,13,59.43,11,11
121,visalia,3616,26,10.74,1,1
116,warren,3930,0,35.98,5,5
160,warwick,2328,29,48.96,2,2
20,washington,11158,1,81.7,35,35
172,waukesha,2917,19,56.12,3,3
181,west des moines,1673,0,57.96,1,1
139,west palm beach,1956,0,51.94,14,14
46,wichita,2448,7,49.62,12,12
130,wilmington,6554,17,59.48,11,11
91,worcester,4937,0,55.71,2,2
165,wyoming,3067,13,54.24,4,4
182,youngstown,1894,26,35.98,4,4
