Admin2,9/19/20
Appling,1001
Atkinson,435
Bacon,589
Baker,78
Baldwin,2048
Banks,467
Barrow,2079
Bartow,2790
Ben Hill,736
Berrien,438
Bibb,5941
Bleckley,425
Brantley,341
Brooks,510
Bryan,1055
Bulloch,2758
Burke,760
Butts,625
Calhoun,233
Camden,1227
Candler,412
Carroll,2624
Catoosa,1096
Charlton,610
Chatham,8074
Chattahoochee,1622
Chattooga,714
Cherokee,5738
Clarke,4855
Clay,120
Clayton,7010
Clinch,362
Cobb,19000
Coffee,1976
Colquitt,1905
Columbia,3617
Cook,540
Coweta,2499
Crawford,165
Crisp,529
Dade,271
Dawson,790
DeKalb,18006
Decatur,1100
Dodge,392
Dooly,322
Dougherty,3122
Douglas,3432
Early,465
Echols,239
Effingham,1365
Elbert,594
Emanuel,978
Evans,412
Fannin,594
Fayette,1734
Floyd,2963
Forsyth,3705
Franklin,709
Fulton,26910
Gilmer,792
Glascock,37
Glynn,3408
Gordon,1778
Grady,749
Greene,492
Gwinnett,26550
Habersham,1553
Hall,8757
Hancock,386
Haralson,433
Harris,774
Hart,483
Heard,189
Henry,4947
Houston,3027
Irwin,283
Jackson,1874
Jasper,209
Jeff Davis,702
Jefferson,767
Jenkins,396
Johnson,410
Jones,528
Lamar,350
Lanier,292
Laurens,1578
Lee,690
Liberty,1060
Lincoln,207
Long,230
Lowndes,3803
Lumpkin,872
Macon,227
Madison,659
Marion,185
McDuffie,579
McIntosh,282
Meriwether,532
Miller,241
Mitchell,775
Monroe,656
Montgomery,291
Morgan,468
Murray,793
Muscogee,5849
Newton,2519
Oconee,706
Oglethorpe,314
Out of GA,16962
Paulding,2707
Peach,655
Pickens,600
Pierce,589
Pike,311
Polk,1396
Pulaski,310
Putnam,674
Quitman,31
Rabun,316
Randolph,331
Richmond,6834
Rockdale,1806
Schley,104
Screven,372
Seminole,343
Spalding,1278
Stephens,992
Stewart,462
Sumter,918
Talbot,158
Taliaferro,21
Tattnall,779
Taylor,204
Telfair,377
Terrell,326
Thomas,1471
Tift,1688
Toombs,1277
Towns,297
Treutlen,244
Troup,2752
Turner,292
Twiggs,183
Unassigned,2399
Union,660
Upson,749
Walker,1426
Walton,1733
Ware,1461
Warren,131
Washington,650
Wayne,1087
Webster,43
Wheeler,322
White,721
Whitfield,4436
Wilcox,243
Wilkes,259
Wilkinson,332
Worth,520
,103
,2074
Hawaii,639
Honolulu,10218
Kalawao,0
Kauai,57
Maui,384
Out of HI,28
Unassigned,0
Ada,12321
Adams,28
Bannock,870
Bear Lake,32
Benewah,136
Bingham,718
Blaine,630
Boise,66
Bonner,283
Bonneville,2417
Boundary,56
Butte,26
Camas,20
Canyon,7873
Caribou,94
Cassia,632
Clark,31
Clearwater,30
Custer,57
Elmore,318
Franklin,79
Fremont,156
Gem,270
Gooding,263
Idaho,88
Jefferson,471
Jerome,721
Kootenai,2474
Latah,310
Lemhi,73
Lewis,12
Lincoln,87
Madison,462
Minidoka,617
Nez Perce,390
Oneida,23
Out of ID,0
Owyhee,323
Payette,805
Power,194
Shoshone,212
Teton,142
Twin Falls,2020
Unassigned,3
Valley,86
Washington,328
Adams,971
Alexander,69
Bond,286
Boone,1012
Brown,36
Bureau,567
Calhoun,35
Carroll,204
Cass,380
Champaign,4320
Christian,427
Clark,146
Clay,138
Clinton,1051
Coles,1342
Cook,138576
Crawford,348
Cumberland,193
De Witt,97
DeKalb,1424
Douglas,273
DuPage,16622
Edgar,109
Edwards,60
Effingham,809
Fayette,306
Ford,94
Franklin,477
Fulton,144
Gallatin,68
Greene,207
Grundy,625
Hamilton,65
Hancock,183
Hardin,34
Henderson,62
Henry,614
Iroquois,348
Jackson,1225
Jasper,192
Jefferson,555
Jersey,378
Jo Daviess,235
Johnson,144
Kane,12554
Kankakee,2631
Kendall,1879
Knox,581
LaSalle,1590
Lake,16285
Lawrence,242
Lee,325
Livingston,312
Logan,428
Macon,1358
Macoupin,486
Madison,5291
Marion,491
Marshall,92
Mason,122
Massac,93
McDonough,444
McHenry,4385
McLean,3120
Menard,115
Mercer,127
Monroe,625
Montgomery,318
Morgan,612
Moultrie,207
Ogle,619
Out of IL,2
Peoria,3174
Perry,332
Piatt,129
Pike,108
Pope,26
Pulaski,156
Putnam,42
Randolph,911
Richland,144
Rock Island,2771
Saline,245
Sangamon,2222
Schuyler,44
Scott,67
Shelby,345
St. Clair,6239
Stark,50
Stephenson,461
Tazewell,1538
Unassigned,2241
Union,495
Vermilion,588
Wabash,137
Warren,300
Washington,189
Wayne,240
White,156
Whiteside,676
Will,13330
Williamson,1296
Winnebago,5218
Woodford,386
Adams,240
Allen,5921
Bartholomew,1145
Benton,88
Blackford,114
Boone,944
Brown,101
Carroll,269
Cass,1927
Clark,2101
Clay,292
Clinton,591
Crawford,102
Daviess,639
DeKalb,442
Dearborn,621
Decatur,453
Delaware,1842
Dubois,940
Elkhart,6321
Fayette,417
Floyd,1300
Fountain,115
Franklin,293
Fulton,230
Gibson,464
Grant,867
Greene,415
Hamilton,4646
Hancock,900
Harrison,556
Hendricks,2638
Henry,754
Howard,1270
Huntington,217
Jackson,731
Jasper,380
Jay,168
Jefferson,240
Jennings,308
Johnson,2250
Knox,476
Kosciusko,1187
LaGrange,629
LaPorte,1356
Lake,10172
Lawrence,500
Madison,1565
Marion,20645
Marshall,980
Martin,159
Miami,422
Monroe,2368
Montgomery,502
Morgan,694
Newton,170
Noble,876
Ohio,76
Orange,282
Out of IN,0
Owen,164
Parke,93
Perry,202
Pike,136
Porter,2033
Posey,294
Pulaski,113
Putnam,520
Randolph,206
Ripley,278
Rush,149
Scott,353
Shelby,663
Spencer,215
St. Joseph,6007
Starke,248
Steuben,364
Sullivan,328
Switzerland,68
Tippecanoe,2184
Tipton,215
Unassigned,0
Union,77
Vanderburgh,3271
Vermillion,125
Vigo,1757
Wabash,260
Warren,40
Warrick,1119
Washington,257
Wayne,737
Wells,247
White,478
Whitley,247
Adair,64
Adams,28
Allamakee,242
Appanoose,120
Audubon,59
Benton,281
Black Hawk,4336
Boone,462
Bremer,463
Buchanan,235
Buena Vista,1941
Butler,258
Calhoun,169
Carroll,630
Cass,129
Cedar,219
Cerro Gordo,993
Cherokee,185
Chickasaw,207
Clarke,255
Clay,288
Clayton,230
Clinton,1062
Crawford,994
Dallas,2675
Davis,113
Decatur,58
Delaware,329
Des Moines,737
Dickinson,483
Dubuque,2760
Emmet,252
Fayette,187
Floyd,296
Franklin,335
Fremont,82
Greene,84
Grundy,201
Guthrie,217
Hamilton,314
Hancock,172
Hardin,276
Harrison,177
Henry,603
Howard,182
Humboldt,171
Ida,96
Iowa,182
Jackson,296
Jasper,756
Jefferson,133
Johnson,4985
Jones,243
Keokuk,90
Kossuth,217
Lee,594
Linn,3762
Louisa,425
Lucas,138
Lyon,241
Madison,201
Mahaska,336
Marion,707
Marshall,1759
Mills,165
Mitchell,181
Monona,132
Monroe,146
Montgomery,86
Muscatine,1060
O'Brien,298
Osceola,125
Out of IA,0
Page,141
Palo Alto,159
Plymouth,1034
Pocahontas,151
Polk,15227
Pottawattamie,1976
Poweshiek,243
Ringgold,41
Sac,209
Scott,2765
Shelby,242
Sioux,1320
Story,3279
Tama,687
Taylor,119
Unassigned,23
Union,120
Van Buren,109
Wapello,1257
Warren,927
Washington,430
Wayne,81
Webster,1189
Winnebago,266
Winneshiek,293
Woodbury,4944
Worth,102
Wright,562
Allen,32
Anderson,56
Atchison,307
Barber,5
Barton,433
Bourbon,130
Brown,90
Butler,488
Chase,81
Chautauqua,13
Cherokee,442
Cheyenne,24
Clark,48
Clay,46
Cloud,64
Coffey,108
Comanche,10
Cowley,321
Crawford,951
Decatur,15
Dickinson,112
Doniphan,105
Douglas,1999
Edwards,44
Elk,1
Ellis,775
Ellsworth,26
Finney,2031
Ford,2593
Franklin,304
Geary,281
Gove,25
Graham,30
Grant,215
Gray,122
Greeley,6
Greenwood,47
Hamilton,42
Harper,119
Harvey,335
Haskell,103
Hodgeman,21
Jackson,231
Jefferson,177
Jewell,15
Johnson,10083
Kearny,79
Kingman,69
Kiowa,17
Labette,225
Lane,12
Leavenworth,1877
Lincoln,12
Linn,66
Logan,7
Lyon,1073
Marion,72
Marshall,19
McPherson,269
Meade,95
Miami,314
Mitchell,44
Montgomery,358
Morris,27
Morton,14
Nemaha,75
Neosho,161
Ness,64
Norton,28
Osage,90
Osborne,5
Ottawa,48
Out of KS,0
Pawnee,328
Phillips,86
Pottawatomie,219
Pratt,63
Rawlins,4
Reno,955
Republic,42
Rice,66
Riley,1588
Rooks,54
Rush,40
Russell,75
Saline,637
Scott,102
Sedgwick,7996
Seward,1637
Shawnee,2537
Sheridan,12
Sherman,24
Smith,5
Stafford,53
Stanton,48
Stevens,121
Sumner,169
Thomas,120
Trego,46
Unassigned,0
Wabaunsee,66
Wallace,16
Washington,16
Wichita,5
Wilson,58
Woodson,13
Wyandotte,6659
Adair,294
Allen,300
Anderson,143
Ballard,52
Barren,637
Bath,79
Bell,470
Boone,1496
Bourbon,166
Boyd,390
Boyle,250
