CityName,County,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers
santa maria,Santa Barbara,4670,0,54.71,9
santa rosa,Sonoma,4242,0,59.99,2
sarasota,sarasota,3862,25,53.45,3
savannah,Chatham,1423,0,51.93,9
scottsdale,Maricopa,1341,5,51.5,9
scranton,Lackawanna,3054,1,39.2,2
seattle,King,8391,20,73.76,16
shreveport,shreveport,1850,29,36.92,19
spokane,spokane,3645,13,58.2,10
springfield,Greene,2336,19,48.93,28
stockton,San Joaquin,4979,17,25.42,8
sugar land,Font Bend,2723,23,49.82,6
sunnyvale,Santa Clara,6947,24,81.9,2
syracuse,Onondaga,5726,1,53.98,8
tallahassee,Leon,1904,0,68.97,9
tampa,Hillsborough,3326,14,50.36,21
temple,temple,1067,0,43.82,1
trenton,Mercer,10988,0,69.2,11
troy,Oakland,2499,31,65.14,14
tucson,Pima,2341,20,54.26,14
tulsa,tulsa,2049,0,44.88,22
vancouver,Washington County Clark,3763,27,67.96,10
visalia,Tulare,3616,26,10.74,1
warren,warren,3930,0,35.98,5
warwick,warwick,2328,29,48.96,2
washington,washington,11158,1,81.7,35
waukesha,waukesha,2917,19,56.12,3
west palm beach,Palm Beach,1956,0,51.94,14
wichita,Sedgwick,2448,7,49.62,12
wilmington,New Hanover,6554,17,59.48,11
worcester,worcester,4937,0,55.71,2
wyoming,wyoming,3067,13,54.24,4
youngstown,Mahoning,1894,26,35.98,4
